"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 18816; Unit:   1, Func:   2: Read Discrete Inputs"
"2","0.000923","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 18816; Unit:   1, Func:   2: Read Discrete Inputs"
"3","0.001315","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 18817; Unit:   1, Func:  15: Write Multiple Coils"
"4","0.001667","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 18817; Unit:   1, Func:  15: Write Multiple Coils"
"5","0.001941","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 18818; Unit:   1, Func:   4: Read Input Registers"
"6","0.002260","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 18818; Unit:   1, Func:   4: Read Input Registers"
"7","0.002600","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 18819; Unit:   1, Func:   3: Read Holding Registers"
"8","0.002892","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 18819; Unit:   1, Func:   3: Read Holding Registers"
"9","0.003144","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 18820; Unit:   1, Func:  16: Write Multiple Registers"
"10","0.003448","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 18820; Unit:   1, Func:  16: Write Multiple Registers"
"11","0.103109","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 18821; Unit:   1, Func:   2: Read Discrete Inputs"
"12","0.103787","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 18821; Unit:   1, Func:   2: Read Discrete Inputs"
"13","0.104426","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 18822; Unit:   1, Func:  15: Write Multiple Coils"
"14","0.104919","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 18822; Unit:   1, Func:  15: Write Multiple Coils"
