"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7011; Unit:   1, Func:   2: Read Discrete Inputs"
"2","0.000825","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans:  7011; Unit:   1, Func:   2: Read Discrete Inputs"
"3","0.001395","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans:  7012; Unit:   1, Func:  15: Write Multiple Coils"
"4","0.002072","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7012; Unit:   1, Func:  15: Write Multiple Coils"
"5","0.002511","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7013; Unit:   1, Func:   4: Read Input Registers"
"6","0.003117","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7013; Unit:   1, Func:   4: Read Input Registers"
"7","0.003501","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7014; Unit:   1, Func:   3: Read Holding Registers"
"8","0.004135","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7014; Unit:   1, Func:   3: Read Holding Registers"
"9","0.004627","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans:  7015; Unit:   1, Func:  16: Write Multiple Registers"
"10","0.005422","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7015; Unit:   1, Func:  16: Write Multiple Registers"
"11","0.104930","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7016; Unit:   1, Func:   2: Read Discrete Inputs"
"12","0.105609","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans:  7016; Unit:   1, Func:   2: Read Discrete Inputs"
"13","0.105923","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans:  7017; Unit:   1, Func:  15: Write Multiple Coils"
"14","0.106377","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7017; Unit:   1, Func:  15: Write Multiple Coils"
"15","0.106576","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7018; Unit:   1, Func:   4: Read Input Registers"
"16","0.107070","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7018; Unit:   1, Func:   4: Read Input Registers"
"17","0.107316","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7019; Unit:   1, Func:   3: Read Holding Registers"
"18","0.107750","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7019; Unit:   1, Func:   3: Read Holding Registers"
"19","0.107998","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans:  7020; Unit:   1, Func:  16: Write Multiple Registers"
"20","0.108402","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7020; Unit:   1, Func:  16: Write Multiple Registers"
"21","0.205082","3Com_78:9b:01","Spanning-tree-(for-bridges)_00","STP","64","RST. Root = 8192/0/00:18:6e:78:9b:00  Cost = 0  Port = 0x8001"
"22","0.207949","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7021; Unit:   1, Func:   2: Read Discrete Inputs"
"23","0.208472","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans:  7021; Unit:   1, Func:   2: Read Discrete Inputs"
"24","0.208564","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans:  7022; Unit:   1, Func:  15: Write Multiple Coils"
"25","0.208873","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7022; Unit:   1, Func:  15: Write Multiple Coils"
"26","0.208925","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7023; Unit:   1, Func:   4: Read Input Registers"
"27","0.209504","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7023; Unit:   1, Func:   4: Read Input Registers"
"28","0.209571","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7024; Unit:   1, Func:   3: Read Holding Registers"
"29","0.210190","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7024; Unit:   1, Func:   3: Read Holding Registers"
"30","0.210257","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans:  7025; Unit:   1, Func:  16: Write Multiple Registers"
"31","0.210596","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7025; Unit:   1, Func:  16: Write Multiple Registers"
"32","0.310016","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7026; Unit:   1, Func:   2: Read Discrete Inputs"
"33","0.310902","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans:  7026; Unit:   1, Func:   2: Read Discrete Inputs"
"34","0.311572","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans:  7027; Unit:   1, Func:  15: Write Multiple Coils"
"35","0.312149","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7027; Unit:   1, Func:  15: Write Multiple Coils"
"36","0.312620","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7028; Unit:   1, Func:   4: Read Input Registers"
"37","0.313183","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7028; Unit:   1, Func:   4: Read Input Registers"
"38","0.313649","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7029; Unit:   1, Func:   3: Read Holding Registers"
"39","0.314203","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7029; Unit:   1, Func:   3: Read Holding Registers"
"40","0.314556","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans:  7030; Unit:   1, Func:  16: Write Multiple Registers"
"41","0.315091","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7030; Unit:   1, Func:  16: Write Multiple Registers"
"42","0.414978","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7031; Unit:   1, Func:   2: Read Discrete Inputs"
"43","0.415621","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans:  7031; Unit:   1, Func:   2: Read Discrete Inputs"
"44","0.416085","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans:  7032; Unit:   1, Func:  15: Write Multiple Coils"
"45","0.416713","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7032; Unit:   1, Func:  15: Write Multiple Coils"
"46","0.417033","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7033; Unit:   1, Func:   4: Read Input Registers"
"47","0.417582","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7033; Unit:   1, Func:   4: Read Input Registers"
"48","0.417904","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7034; Unit:   1, Func:   3: Read Holding Registers"
"49","0.418385","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7034; Unit:   1, Func:   3: Read Holding Registers"
"50","0.418692","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans:  7035; Unit:   1, Func:  16: Write Multiple Registers"
"51","0.419172","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7035; Unit:   1, Func:  16: Write Multiple Registers"
"52","0.519065","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7036; Unit:   1, Func:   2: Read Discrete Inputs"
"53","0.519794","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans:  7036; Unit:   1, Func:   2: Read Discrete Inputs"
"54","0.520386","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans:  7037; Unit:   1, Func:  15: Write Multiple Coils"
"55","0.521062","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7037; Unit:   1, Func:  15: Write Multiple Coils"
"56","0.521535","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7038; Unit:   1, Func:   4: Read Input Registers"
"57","0.522153","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7038; Unit:   1, Func:   4: Read Input Registers"
"58","0.522671","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7039; Unit:   1, Func:   3: Read Holding Registers"
"59","0.523295","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans:  7039; Unit:   1, Func:   3: Read Holding Registers"
"60","0.523646","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans:  7040; Unit:   1, Func:  16: Write Multiple Registers"
"61","0.524083","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7040; Unit:   1, Func:  16: Write Multiple Registers"
"62","0.623910","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans:  7041; Unit:   1, Func:   2: Read Discrete Inputs"
"63","0.624596","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans:  7041; Unit:   1, Func:   2: Read Discrete Inputs"
"64","0.624881","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans:  7042; Unit:   1, Func:  15: Write Multiple Coils"
"65","0.625401","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans:  7042; Unit:   1, Func:  15: Write Multiple Coils"
